,name,formatted_address,website,rating,lat,lng,distance_Lerma,distance_Florencia,distance_Fortuna,distance_Santa_Fe,distance_Tlalpan
0,Harley-Davidson® Toluca,"Carretera Toluca - México Km 43.5 Ortíz Rubio, 52740 Ocoyoacac, Méx., Mexico",http://hogtolucachapter.com.mx/,4.5,19.285819500000002,-99.4551249,3.200535814862786,34.01749002513781,40.291935655964345,23.380484468008298,29.308466475244014
1,Pontiac Gmc Tollocan,"CD de México Toluca KM 46, Ocoyoacac, Col Juárez, 52740 Mexico, Méx., Mexico",http://www.buickgmctollocan.com.mx/,4.2,19.2834948,-99.47229190000002,1.4030034156892435,35.747245988997676,41.95263111462909,25.12410371139264,31.112414552717613
2,German Centre Mexico,"Av Sta Fe 170, Santa Fe, Zedec Sta Fé, Álvaro Obregón, 01376 Ciudad de México, CDMX, Mexico",http://www.germancentre.mx/,4.5,19.366758899999997,-99.2605814,25.484454733573383,11.801941090938843,18.61518094600439,1.3249054530613715,12.748885525031557
3,Mazda Ral,"Periferico Sur 6611, San Juan Tepepan, Xochimilco, 16020 Ciudad de México, CDMX, Mexico",https://www.mazda.mx/distribuidores/mazda-ral,4.3,19.281704,-99.13579,36.66836120369782,16.180811341011008,22.359966945111193,16.36232484627351,4.2651685941489355
4,Distrubuidora Chevrolet S.A. de C.V.,"D, Anillo Perif. 6611, Santa María Tepepan, Xochimilco, 16020 Ciudad de México, CDMX, Mexico",,4.0,19.2819155,-99.13714540000001,36.52609736190194,16.130089850328545,22.338753346513695,16.23870088331293,4.121614097921895
5,BMW Lerma Motors,"Carr Toluca - México Km. 47.5, Amomolulco, 52005 Lerma de Villada, Méx., Mexico",https://www.bmw.com.mx/es/distribuidores/lerma_motors.html,4.5,19.282529999999998,-99.482344,0.4934171527715963,36.74537084224357,42.908300974982,26.132402116066686,32.16943913400034
6,PF TOLLOCAN Buick GMC Cadillac Tollocán,"Carr Toluca - México Km. 46, Col Juárez, 52740 Ocoyoacac, Méx., Mexico",http://www.buickgmctollocan.com.mx/,4.4,19.2834419,-99.4723324,1.3968300492944041,35.75364114196011,41.959341699439896,25.130402524624625,31.116685956373306
7,Continental Seminuevos Ocoyoacac,"Carr Toluca - México 520, Lerma de Villada, Méx., Mexico",https://www.seminuevos.com/dealers-profile/continental-automotriz-de-metepec/7320,3.2,19.282915600000003,-99.4692611,1.6823920482674164,35.489668587677706,41.716804422266215,24.861336832827234,30.794059151518024
8,globalcarmx,"Coapanoaya, 52740 Ocoyoacac, Méx., Mexico",,4.6,19.283282999999997,-99.464555,2.1707880522513334,35.0288112625985,41.27736635380384,24.396064877115165,30.29923739609898
9,Planet Cars,"Carretera Toluca - México Km 44.5, La Campana, 52743 Ocoyoacac, Méx., Mexico",,1.0,19.2848829,-99.4578471,2.8977591638083537,34.319546398849845,40.58845329624643,23.683297109620163,29.594122036480353
10,Mercedes-Benz Star Haus Seminuevos,"Calle Vicente Fox Quesada, La Estacion, 52000 Lerma de Villada, Méx., Mexico",https://www.mercedes-benz-starhaus.com.mx/,4.0,19.2825081,-99.516715,3.4011588987593866,40.03830826953744,46.0340237379651,29.47705682670705,35.7822380949976
11,Autos Clasicos,"Km 43, Carr Toluca - México, Ortiz Rubio, 52740 Ocoyoacac, Méx., Mexico",,4.9,19.2863083,-99.452697,3.461191756022608,33.76557168275001,40.04851878199896,23.12714117973894,29.053672180246107
12,Astrocamiones,"Carretera México - Toluca Km. 50.5, La estacion, Col. La Estación en Lerma, 52000 Lerma de Villada, Méx., Mexico",http://www.astrocamiones.com.mx/,4.2,19.2828347,-99.5178039,3.519327378029535,40.12927489530442,46.116693323037005,29.57119065879126,35.89651949799249
13,Continental Automotriz Lerma,"Mexico - Toluca Km 50.0, Los Llanitos, 52000 Lerma de Villada, Méx., Mexico",http://www.continental-lerma.com.mx/,4.2,19.2814415,-99.5192652,3.65530544728814,40.33120625140215,46.325724822834744,29.769600757506865,36.05111473374741
14,Das Welt Auto,"Carr Toluca - México Km 42.5, San Juan Coapanoaya, 52743 Ocoyoacac, Méx., Mexico",,4.3,19.2879842,-99.44518570000001,4.272110578079816,32.978733543833165,39.286856116932626,22.336424745496277,28.266384627863765
15,Volkswagen Automotriz Lerma,"Carr Toluca - México km 50, La Estacion, 52000 Lerma de Villada, Méx., Mexico",http://www.vw-lerma.com.mx/,3.8,19.2819581,-99.5140662,3.1173818486367137,39.80687417877289,45.82039246363513,29.239064954318906,35.50419775036428
16,Subacar Automotriz,"Av. Lic. Benito Juárez 569, Barrio de la Concepción, 52100 San Mateo Atenco, Méx., Mexico",http://www.subacar.com/,4.6,19.277998899999996,-99.5292408,4.691182978025305,41.44510599960988,47.42801787114203,30.88513611585426,37.10480959613424
17,Star Haus,"Carr Toluca - México Km. 50.6, La Estacion, 52000 Lerma de Villada, Méx., Mexico",http://starhaus.com.mx/,4.2,19.2823538,-99.516647,3.391951944240327,40.03848789729483,46.03605486330301,29.476475819996015,35.775185853082924
18,MINI Lerma,"Carr Toluca - México KM 47.5, Col. Amomolulco, 52005 Lerma de Villada, Méx., Mexico",http://www.lerma.mini.com.mx/,,19.2825096,-99.482341,0.4915959769967108,36.746056932986846,42.90920544902819,26.133021166805527,32.16913665631823
19,INFINITI Toluca,"Carretera Libre Federal, Carr Toluca - México KM 46, Los Encinos, 52743 Ocoyoacac, Méx., Mexico",https://www.infiniti.mx/,4.6,19.2833703,-99.4728026,1.3481671739917638,35.80153145740663,42.0054787289159,25.178677903426657,31.166130851849193
20,SEMINUEVOS PREMIUM GRUPO TOLLOCAN,"Carr Toluca - México, Ocoyoacac, Méx., Mexico",,,19.28337,-99.4725805,1.3696895047232314,35.780566869526936,41.9856824429845,25.1574366946434,31.14278555169631
21,Autofinanciamiento de Automóviles Monterrey,"Carr Toluca - México Km 48.50, La Isla, 52000 Lerma de Villada, Méx., Mexico",http://autofinauto.com/,,19.281514,-99.499342,1.5803927183417235,38.412673813509095,44.50088004317854,27.820403988235505,33.95692266767631
22,Acasa Seminuevos,"State of Mexico, Mexico",,,19.2846268,-99.4610859,2.560967432535629,34.636194873045184,40.890042620333936,24.002827635070688,29.934491483431135
23,DE BELLO VAN LERMA,"KM 44.5, Carr Toluca - México, LA CAMPANA, 52740 Ocoyoacac, Méx., Mexico",http://www.debellovan.com.mx/,3.8,19.285525699999997,-99.4574301,2.9578946645063717,34.24828723541541,40.51302660153183,23.61305126817799,29.55057590667709
24,chevrolet,"52030, Carr Toluca - México 363, San Pedro Tultepec, 52030 Lerma de Villada, Méx., Mexico",http://www.chevrolet.com.mx/,4.4,19.2803574,-99.5134862,3.0406034391446943,39.82201963951417,45.854081777570684,29.246890714637257,35.444933151574425
25,SEMINUEVOS CHEVROLET GRUPO TOLLOCAN,"Lerma, San Pedro Tultepec, 52030 San Pedro Tultepec, Méx., Mexico",,,19.2797287,-99.5135693,3.0457550516851515,39.85809670417699,45.89594872661157,29.28065734929508,35.454577133449284
26,"TOLLOCAN MOTORS, S.A. DE C.V.","Carr Toluca - México Km 16.5, El Pozito, 52000 Lerma de Villada, Méx., Mexico",http://www.chevrolettollocan.com.mx/,4.0,19.280410699999997,-99.5136184,3.054846794785227,39.83236282980708,45.86328108529023,29.25764767063878,35.45875743576417
27,Astro Camiones,"México 15, Adolfo Lopez Mateos, 52030 Lerma de Villada, Méx., Mexico",http://astrocamiones.com.mx/,4.2,19.2815501,-99.5194652,3.6772884811889215,40.345779152938846,46.33830175058386,29.784950743226982,36.0720354579764
28,Autos nuevos y seminuevos Volkswagen,"Carr Toluca - México Km 50, Lerma, 52000 Toluca México, Méx., Mexico",,3.7,19.28283,-99.520938,3.846055845803353,40.43261609767665,46.40565930690743,29.879669944790468,36.22595281053007
29,Autos RM,"Av las Torres, Calle Independencia Esquina, Barrio de la Concepción, 52100 San Mateo Atenco, Méx., Mexico",https://autosseminuevosrmg.wixsite.com/misitio,4.7,19.2794695,-99.53165890000001,4.945694169864262,41.615478970888624,47.57327707841629,31.06550766333896,37.3562791962575
30,Como Nuevos Toluca,"Calle Independencia 736 B, Barrio de la Concepción, 52105 San Mateo Atenco, Méx., Mexico",https://www.facebook.com/Como-Nuevos-Toluca-258554464660531/,4.8,19.2790515,-99.53184870000001,4.964997442593093,41.65183283997068,47.61286451576541,31.100384648075355,37.376913655351025
31,Volkswagen Salto del Agua S.A. de C.V.,"N° 70, Eje Central Lázaro Cárdenas, Obrera, Cuauhtémoc, 06800 Ciudad de México, CDMX, Mexico",http://www.vw-saltodelagua.com.mx/,4.1,19.4235867,-99.1419832,39.41442521060107,2.5728531953724554,6.716215481982624,12.888913222144218,15.875671208144501
32,Volkswagen Cresta Narvarte,"Av. Cuauhtémoc 548, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",http://www.vw-crestanarvarte.com.mx/,4.1,19.3986693,-99.1554623,37.05135748100243,3.1296161819731645,9.697043549519599,10.676573672652907,12.889853792548031
33,BMW Bavaria,"Av. Pdte. Masaryk 60, Chapultepec Morales, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",https://www.bmw.com.mx/es/distribuidores/grupo_bavaria.html,4.1,19.431184,-99.183642,35.849074318338936,1.9338480107534424,7.863798266859842,9.544899975879158,16.320053352119462
34,Audi Center Masaryk,"Av. Pdte. Masaryk 207, Polanco, Polanco V Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",http://audicentermasaryk-versalles.com/,4.1,19.4317108,-99.190156,35.27476901581406,2.600663641955065,8.299386322892074,9.059696761080033,16.424770512723782
35,RENAULT PATRIOTISMO,"Avenida Patriotismo 43, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico",http://www.renaultpatriotismo.com.mx/,4.0,19.404107,-99.178208,35.0644066191067,2.617799201729231,9.997230354217999,8.553325701131445,13.305977658573523
36,SEAT Polanco,"Av Ejército Nacional No. 678, Polanco, Polanco III Secc, Miguel Hidalgo, 11570 Hidalgo, CDMX, Mexico",http://seat-polanco.com.mx/,4.3,19.4379503,-99.1969792,34.990221554477806,3.515190797078946,8.395974152696946,9.038430853277697,17.18868415906552
37,Honda Dalton Maríano Escobedo,"Calz México-Tacuba 536, Popotla, Miguel Hidalgo, 11400 mig, CDMX, Mexico",http://www.daltonhonda.com.mx/,4.1,19.4558735,-99.1799164,37.54581532775369,3.703879728733833,5.792025078011491,11.711769582488028,19.03866814897438
38,Chevrolet Delta,"Av. Cuauhtémoc 421, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",http://www.chevroletdelta.com.mx/,4.2,19.4045219,-99.1558284,37.25235839239113,2.5213168713560354,9.079637264521173,10.801564045841491,13.522572378003465
39,Honda Dalton Polanco,"Perif. Blvd. Manuel Ávila Camacho 83, Polanco, Lomas de Chapultepec III Secc, Miguel Hidalgo, 11000 Ciudad de México, CDMX, Mexico",http://daltonhonda.com.mx/,4.2,19.431435699999998,-99.207253,33.695061075070804,4.345933636703676,9.691799165470965,7.787025955789371,16.65035414857208
40,Best Center,"Av. Thiers 195, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX, Mexico",,3.0,19.4350702,-99.1803364,36.35838973128623,1.839667687850634,7.31208497425921,10.085456115730468,16.737378073971115
41,"Guía Autoprecios, S.A. de C.V.","Puente La Morena No. 63 B, Tacubaya, Miguel Hidalgo, 11870 Ciudad de México, CDMX, Mexico",http://www.autoprecios.com.mx/,,19.397709,-99.182819,34.34261832077771,3.4720325353888333,10.85068499512534,7.868992502466338,12.61483972109897
42,Grupo Inmobiliario,"Camargo 36, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",,,19.4059126,-99.1762891,35.328705324227634,2.347921250040146,9.72617024297966,8.812491069522222,13.50434172595725
43,AZTECA PARTS,"Eje 3 Sur Doctor Morones Prieto 64, Buenos Aires, Cuauhtémoc, 06780 Ciudad de México, CDMX, Mexico",,3.5,19.4067865,-99.1473881,38.16851199320466,2.8368155941795923,8.64177333330985,11.722825276853026,13.936209654303653
44,Autos Seminuevos,"Avenida Patriotismo 271, San Pedro de los Pinos, Benito Juárez, 03800 Ciudad de México, CDMX, Mexico",http://www.auto-plaza.com.mx/,3.4,19.3945594,-99.1813152,34.35712361377512,3.709588441161681,11.084875181237841,7.929251019799979,12.258909730522829
45,Polanco Service Center SURMAN,"Bahía de la Ascensión, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",http://www.surman.com/,4.1,19.4376892,-99.1735017,37.12775420153197,1.5930614124547329,6.621143595127921,10.826745707568781,17.02445975970916
46,Inversión Vacacional S.A. de C.V.,"Av. Thiers 195, Anzures, Miguel Hidalgo, 11590 Ciudad de México, CDMX, Mexico",http://www.alamo.com.mx/,4.0,19.435226899999996,-99.1803445,36.3658933223155,1.8509493726430266,7.299903969116766,10.095807876469804,16.754740337781257
47,ingenieria automotriz,"Manuel María Contreras 10, San Rafael, Cuauhtémoc, 06470 Ciudad de México, CDMX, Mexico",,5.0,19.442086800000002,-99.16379520000001,38.25609249900197,1.9168789595215237,5.615134849101241,11.931662843990692,17.55794438033701
48,Surtidora Montecristo,"Pedro Moreno 172, Guerrero, Cuauhtémoc, 06300 Ciudad de México, CDMX, Mexico",http://www.surtidoramontecristoautomotriz.com.mx/,4.6,19.442175,-99.147961,39.73407625310097,2.7202900168211586,4.849519931126694,13.303488460520976,17.76969164056197
49,Harada Industries México,"Av. Insurgentes Sur 527, código 2, Hipódromo, Cuauhtémoc, 03510 Benito Juárez, CDMX, Mexico",https://www.harada.com/jp/aboutus/network/area/mexico.html,,19.4019807,-99.17007120000001,35.76070893300643,2.5714215147252726,9.838597803318319,9.28763930834249,13.085470155340694
50,Arrendadora Panamericana S.A. de C.V.,"Lafontaine 323, Polanco, Polanco III Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",http://www.arrendadora-panamericana.com.mx/,4.0,19.436781,-99.1979803,34.83428055115246,3.56179281564546,8.5579895360266,8.871900774926182,17.074005931774938
51,Máxima,"Dr. G. Bolaños Cacho 85-B, Buenos Aires, Cuauhtémoc, 06780 Ciudad de México, CDMX, Mexico",,,19.4058179,-99.1484938,38.02094100818962,2.8353211176927284,8.767946763989984,11.581651144871989,13.806537158992903
52,Fomento Automotriz y Servicio Al Transporte,"Av. Insurgentes Sur 136, Juárez, Cuauhtémoc, 06400 Ciudad de México, CDMX, Mexico",http://www.motosfast.com/,4.0,19.444413,-99.154251,39.261941272424416,2.5057270635693945,4.87726285361306,12.89355086097091,17.91661150625668
53,Jaro Mecanica Automotriz S.A de C.V,"Santa María La Ribera 128, Cuauhtémoc, 06400 Ciudad de México, CDMX, Mexico",,5.0,19.4475484,-99.1573445,39.1392490985895,2.6773839122709897,4.736321670995631,12.836643258646719,18.222455311014603
54,Hyundai Insurgentes,"Av. Insurgentes Sur 195, Roma Nte., Cuauhtémoc, 06100 Ciudad de México, CDMX, Mexico",http://www.hyundaiherencia.com/hyundai-herencia/,4.1,19.4205782,-99.16416740000001,37.1557499645085,0.5398529375687317,7.705764624551971,10.636730458266372,15.18139440647325
55,Drivser,"Av Chapultepec 42, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",http://www.drivser.com,5.0,19.4262936,-99.1515007,38.628780230607326,1.5758444874972746,6.637422668322474,12.109460418501078,15.974389128173184
56,Peugeot Anzures,"Bahía de la Ascensión 31, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",http://www.peugeotanzures.com.mx/eurosurman-anzures-distrito-federal/nuestra-ubicacion/,4.3,19.4376899,-99.1732172,37.1541094447419,1.5794413398334322,6.602026058866402,10.850309912640858,17.025079646410457
57,Surman Ford Marina,"Bahía de la Ascensión 31, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",http://www.fordsurmanmarina.mx/,4.0,19.438233,-99.17345440000001,37.16066376825926,1.6443424907081325,6.5717670291501165,10.867912624831046,17.084734266883043
58,Mercedes-Benz,"Av. Pdte. Masaryk 42, Polanco, Polanco V Secc, Miguel Hidalgo, 11580 Ciudad de México, CDMX, Mexico",http://hermer.mx/,4.2,19.4310496,-99.1828252,35.91781781878969,1.8484792476327,7.817359534213504,9.602784738619588,16.301357729197807
59,Dodge,"Lago Xochimilco, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDMX, Mexico",,4.3,19.4376368,-99.1796433,36.55815621438606,1.973395198461149,7.055060849950831,10.323361075521495,17.019745530336365
60,NISSAN San Cosme,"06030, Miguel Ramos Arizpe 1, Tabacalera, Cuauhtémoc, 06030 Ciudad de México, CDMX, Mexico",https://www.nissansancosme.com.mx/promociones-de-autos-nuevos-es-mx.htm,3.9,19.4383807,-99.1523498,39.13294939241805,2.0973003237795482,5.403341854539911,12.689240444219136,17.28262850622411
61,Vende tu Auto Por Más Dinero,"Monterrey 329, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",http://www.pormas.mx/,2.7,19.4063938,-99.1613755,36.79144057674239,2.1221644840170963,9.053190319976238,10.306188797004458,13.647999658066158
62,Monarch Honda DF FAME,"Av. Dr. Río de la Loza 45, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, Mexico",http://www.famemonarcadf.com/,3.8,19.425262,-99.144417,39.257144944376606,2.313041706424954,6.573578132168941,12.73096339091943,16.000845627419448
63,Ford Surman México,"Av. Dr. Río de la Loza 43, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, Mexico",http://www.fordsurman.mx/,4.1,19.425460100000002,-99.1433934,39.36412441936626,2.4209384496641446,6.533517652152971,12.837841809954991,16.045118888194562
64,FORD ALDEN CONDESA,"Av. Jose Vasconcelos, Av. Revolución 111, Colonia Condesa, Cuauhtémoc, 06170 Ciudad de México, CDMX, Mexico",http://fordaldentacubaya.mx/,4.1,19.4084862,-99.1835053,34.751339830034205,2.5564592084913493,9.859393054391807,8.225257623264467,13.809998906737762
65,Jaguar Masaryk,"Av. Pdte. Masaryk 211, Chapultepec Morales, Polanco V Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",https://retailers.jaguarmexico.com.mx/masaryk,4.2,19.431752499999998,-99.1902754,35.265981863379125,2.6140006540200145,8.305230747107876,9.05340827946331,16.430484730621657
66,Seminuevos Monterrey,"Monterrey 414, Piedad Narvarte, Benito Juárez, 03000 Ciudad de México, CDMX, Mexico",http://www.seminuevosxola.mx/,4.6,19.402181,-99.1597344,36.775124860240425,2.6173014361135603,9.442835009401065,10.336174154566093,13.206474708112264
67,NISSAN META,"Calz. Gral. Mariano Escobedo 208, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDMX, Mexico",http://www.nissanmeta.com/,4.0,19.4429092,-99.1829452,36.540960289254166,2.637365168719778,6.904082633084424,10.45807370881915,17.61360321888614
68,Stoner Solutions en Mexico,"Rio Mixcoac 65, primer piso., Col. Credito Constructor, Buenos Aires, Cuauhtémoc, 03940 Ciudad de México, CDMX, Mexico",,,19.4042247,-99.14581070000001,38.21862058202618,3.1557874848229313,8.895049833074642,11.807328596315356,13.697405124839817
69,"Carflex Patriotismo Autos Seminuevos, CDMX","1, Avenida Patriotismo 63, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico",http://carflex.mx/oficinas/venta-seminuevos/carflex-patriotismo?utm_source=google&utm_medium=organic&utm_campaign=locations&utm_content=location,4.6,19.4032957,-99.1786123,34.9899592355483,2.7170217480883356,10.096446056671187,8.482620534230444,13.216892175377073
70,Agencia de Autos Toyota Polanco,"Lago Alberto 320, Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX, Mexico",http://www.toyotapolanco.com.mx/,4.1,19.4404068,-99.18663790000001,36.066831415671096,2.725081690287862,7.378735325321051,9.986938587996777,17.356768222686558
71,Alden Condesa,"Circuito Interior (Avenida Patriotismo) 69, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico",http://fordaldentacubaya.mx/,1.5,19.403336399999997,-99.17899140000002,34.9551329456448,2.7320366749034135,10.111351473288327,8.446710837327647,13.222188760322519
72,Hyundai Patriotismo,"Avenida Patriotismo 87, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico",https://www.hyundai-patriotismo.com.mx/,4.0,19.402082699999998,-99.1788927,34.91021448198633,2.8496047258850323,10.228778725536376,8.410161038384082,13.08322007307364
73,Infiniti Polanco,"Av. Presidente Masaryk Esq, Galileo 66, Polanco, Polanco IV Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",http://www.infinitipolanco.mx/,4.6,19.431369399999998,-99.1929318,35.001017404061265,2.8714995432618338,8.53744891107247,8.818395182152194,16.41560637555877
74,Autos Seminuevos,"Narvarte Poniente, 03020 Mexico City, CDMX, Mexico",http://www.auto-plaza.com.mx/,4.5,19.401072199999998,-99.1558119,37.113146091366346,2.8695093673608163,9.44828335901383,10.703023021788052,13.145991233973792
75,Surman Polanco,"Campos Elíseos 233, Polanco, Polanco IV Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",,4.5,19.427885699999997,-99.1945209,34.669779474075334,2.9670005691273076,8.923300454767606,8.43577561192494,16.051272016394716
76,NISSAN WITT BUENAVISTA,"Av. Insurgentes Nte. 266, Sta María la Ribera, Cuauhtémoc, 06400 Ciudad de México, CDMX, Mexico",http://www.nissanbuenavista.com.mx/,4.1,19.4488634,-99.15319709999999,39.5915410382247,2.9898789734917313,4.389759192243428,13.272162013288206,18.419493518795502
77,Bentley Motors Polanco,"Campos Elíseos 247, Polanco, Polanco IV Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",http://www.polanco.bentleymotors.com/es-MX/about-us/Find-Us/,4.9,19.4278734,-99.19507540000001,34.61792278097736,3.0247460100279193,8.966350820318905,8.391409560537884,16.056973377757775
78,Grupo Automotriz Fedor,"República de Uruguay 44, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06000 Ciudad de México, CDMX, Mexico",,1.3,19.430553,-99.1380486,40.108845339979155,3.0453222118937466,5.903364399055002,13.585423232535998,16.722084678173847
79,VUHL Showroom Mexico Polanco,"Campos Elíseos 257, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",http://vuhlautomotive.com/,5.0,19.4278383,-99.1953134,34.59409757947899,3.0491898684098127,8.9871519586819,8.370212034555658,16.05620933329308
80,Hyundai Polanco,"Campos Elíseos 257, Polanco, Polanco IV Secc, Miguel Hidalgo, 11560 Ciudad de México, CDMX, Mexico",http://www.hyundaipolanco.com.mx/,4.4,19.4278301,-99.19533670000001,34.5915138321343,3.051528609280148,8.989552350464255,8.367785456794913,16.05561345399996
81,Robotics and Computer Mexico,"Condominio Rena, Av. Insurgentes Sur 605-1203, Nápoles, Benito Juárez, 03810 Ciudad de México, CDMX, Mexico",https://roboticarc.com/,4.6,19.397534,-99.171705,35.41664773175151,3.085184038900593,10.358710903962953,8.98863635761777,12.586120849083912
82,"EUROPEAN CARS, Av. Patriotismo 132-A","Circuito Interior, A, Avenida Patriotismo 132-A, Miguel Hidalgo, 11800 Ciudad de México, CDMX, Mexico",,4.3,19.4000707,-99.1802016,34.69698048822083,3.110647219868444,10.489981769127333,8.20920838744578,12.864195324320114
83,AUTOMOTRIZ ECHENIQUE,"Av. Cuauhtémoc 557, Narvarte Poniente, Benito Juárez, 03020 Ciudad de México, CDMX, Mexico",http://panel.soloautos.mx/plantilla/agencia/usados/253/iframe/,4.2,19.3985021,-99.1560214,36.98989577350765,3.125794479882115,9.729310240332657,10.615206869673298,12.861751804831663
84,Nutrimentos Minerales,"Laguna de Yuridia 67, Granada, Miguel Hidalgo, 11520 Ciudad de México, CDMX, Mexico",,3.0,19.441684,-99.1932582,35.536255982371706,3.3708486257937866,7.835582908916182,9.607057950554047,17.554780233802955
85,Porsche Polanco,"Alejandro Dumas 245, Polanco, Polanco IV Secc, Miguel Hidalgo, 11550 Ciudad de México, CDMX, Mexico",http://www.porsche.mx/,4.3,19.4356161,-99.1953383,35.01044563860245,3.256418494529061,8.420066226442113,8.96685937727999,16.91114374272382
86,Mazda Pasion Marina Nacional,"Av. Marina Nacional 103, Anáhuac I Secc, Miguel Hidalgo, 11320 Ciudad de México, CDMX, Mexico",,3.7,19.4504359,-99.1847537,36.79925707681499,3.4141581415297537,6.546623987112219,10.924621695941324,18.4543316426853
87,Seminuevos San Joaquin,"Av. Río San Joaquín 325, Pensil Nte., Miguel Hidalgo, 11490 Ciudad de México, CDMX, Mexico",http://www.seat-polanco.com.mx/,4.0,19.4432046,-99.1938184,35.5713607688619,3.5141472638711564,7.784898105953008,9.693776106912285,17.728258486073347
88,Direct Auto Sales,"Av. Río San Joaquín 30, Cuauhtémoc Pensil, Miguel Hidalgo, 11490 Ciudad de México, CDMX, Mexico",,4.0,19.443166899999998,-99.1938694,35.56462430853024,3.516136290837414,7.791679679892092,9.687109082827158,17.72466496988638
